CatNo,i1,i2,i3,i4,i5,i6,i7,i8,i9,o1,o2,o3
169,2,3,2,1,2,3,,1,1,2,2,2
170,3,3,2,2,1,1,0,0,1,2,2,2
171,3,2,2,1,3,1,0,0,1,2,2,2
172,2,3,3,1,3,3,0,0,,2,2,2
173,2,3,2,1,2,3,0,0,,2,2,2
174,2,3,2,3,2,1,1,1,2,2,2,2
175,3,3,1,0,3,1,1,0,0,2,2,1
176,2,4,2,1,2,1,0,1,1,2,2,1
177,2,3,2,1,2,4,0,0,0,2,2,2
178,3,5,2,3,1,1,1,0,0,2,2,2
179,,,3,1,3,0,0,0,1,2,2,2
180,2,1,1,2,2,3,0,0,,2,2,2
181,3,1,3,1,3,3,0,0,0,2,2,2
182,,3,2,2,1,3,1,0,0,2,2,2
183,3,3,1,1,1,4,0,0,1,2,2,2
184,2,3,3,1,2,3,0,0,,2,2,2
185,3,3,1,0,2,3,0,0,,2,2,2
186,2,3,2,3,3,4,0,0,1,2,2,1
187,2,3,3,1,3,1,0,1,1,2,2,1
188,3,3,3,1,3,1,0,0,1,2,2,1
189,2,3,2,2,3,1,0,0,0,2,2,2
190,2,1,2,1,2,1,1,0,1,2,2,1
191,3,3,2,1,3,3,0,0,,2,2,1
192,2,3,2,2,2,1,0,0,,2,2,2
193,2,3,2,3,2,4,1,0,0,2,2,2
194,1,1,3,3,3,4,1,1,0,2,2,2
195,1,3,3,0,3,4,0,0,0,2,2,1
196,2,1,2,1,2,3,0,0,1,2,2,2
197,2,3,2,0,2,3,1,0,,2,2,2
198,2,3,2,1,2,1,0,0,0,2,2,2
199,2,3,2,1,2,1,1,0,0,2,2,2
200,2,3,2,0,2,1,0,0,,2,2,2
201,3,3,2,3,2,1,0,0,0,2,2,2
202,2,3,3,2,2,3,0,1,0,2,2,1
203,3,2,1,1,3,3,1,0,1,2,2,2
204,2,3,3,2,3,4,0,0,1,2,2,1
205,2,3,2,2,3,3,1,0,,2,2,1
206,2,3,1,1,2,1,1,0,0,2,2,2
207,3,3,1,2,2,4,1,0,,2,2,2
208,2,3,3,1,2,3,0,,,2,2,1
209,2,3,2,1,2,4,0,0,,2,2,1
210,2,3,2,2,2,3,1,0,,2,2,2
211,3,3,2,1,2,4,1,1,1,2,2,2
212,2,2,2,0,2,4,1,1,0,2,2,2
213,2,2,2,0,2,3,0,0,1,2,2,2
214,,,2,1,,3,0,0,,2,2,2
215,2,3,2,0,2,3,0,0,,2,2,1
216,2,,2,1,,3,1,0,,2,2,1
217,3,3,3,3,2,1,1,0,0,2,2,2
218,2,2,2,1,3,4,1,0,0,2,2,1
219,3,1,2,2,2,4,1,0,1,2,2,2
220,2,4,1,1,2,4,0,0,,2,2,1
221,3,4,2,1,3,4,1,1,0,2,2,2
222,2,3,1,0,2,1,0,1,0,2,2,1
223,2,3,3,3,2,4,1,0,1,2,2,2
224,,2,3,1,2,,,0,,2,2,2
225,3,3,2,2,2,1,1,0,0,2,2,2
226,2,2,1,1,2,1,0,0,,2,2,1
227,3,3,2,1,2,3,1,0,,2,2,2
228,3,3,1,2,1,1,1,0,0,2,2,2
229,2,3,1,0,1,3,1,0,,2,2,1
230,2,3,1,1,2,3,0,0,1,2,2,2
231,3,4,1,3,1,3,1,0,1,2,2,2
232,2,3,2,3,3,0,1,0,,2,2,2
233,2,3,2,1,2,4,1,0,,2,2,1
234,3,4,2,2,2,0,1,0,1,2,2,2
235,2,1,2,2,2,0,1,1,,2,2,2
236,2,3,2,2,2,1,0,0,0,2,2,2
237,1,4,2,1,1,3,0,0,1,2,2,2
238,,4,3,1,3,4,1,0,0,2,2,1
239,2,3,2,2,1,1,0,0,0,2,2,2
240,2,3,2,2,2,1,1,0,,2,2,2
241,2,1,1,0,2,3,,0,,2,2,2
242,2,2,1,0,2,1,0,0,0,2,2,1
243,2,2,3,2,3,1,1,0,,2,2,2
244,2,3,1,1,1,3,0,0,0,2,2,1
245,2,2,2,1,1,1,0,0,0,2,2,2
246,2,3,2,2,2,3,1,0,0,2,2,2
247,2,3,3,0,2,4,1,0,0,2,2,2
249,,,,,,,,1,,2,2,2
250,2,3,2,2,1,3,0,0,1,2,2,2
251,2,3,2,2,2,3,1,0,,2,2,1
252,,,,,,,,,,2,2,2
253,3,5,1,1,1,3,0,0,,2,2,1
254,3,4,1,1,1,2,0,0,0,2,2,2
255,2,2,1,3,3,3,0,0,,2,2,2
256,2,2,1,1,1,4,0,0,0,2,2,2
257,2,3,2,1,3,,,0,0,2,2,1
258,3,1,2,1,2,4,1,0,0,2,2,2
259,2,2,2,2,2,3,1,0,0,2,2,2
260,2,3,2,1,2,4,0,0,2,2,2,1
261,2,3,2,1,2,4,1,1,0,2,2,1
262,2,2,1,1,2,4,1,0,,2,2,2
263,,,,,,,,0,,2,2,2
264,2,3,2,1,1,3,0,1,,2,2,2
265,1,3,2,0,2,3,0,0,,2,2,2
266,2,2,2,2,2,3,1,0,0,2,2,1
267,3,3,2,1,2,3,0,0,1,2,2,2
268,2,3,2,1,2,3,1,0,1,2,2,2
269,2,3,2,1,1,1,1,0,0,2,2,2
270,1,1,3,2,2,3,1,0,0,2,2,2
271,2,3,2,1,3,0,0,0,1,2,2,1
272,2,3,2,2,2,3,0,0,,2,2,2
273,2,2,2,3,1,3,1,0,1,2,2,2
ML07-1592,1,4,2,0,2,0,,0,2,2,3,2
ML08-0723,3,5,1,2,1,3,1,0,2,2,3,2
UT01-00D,2,4,1,1,2,1,1,0,3,2,3,2
UT01-01D,3,4,2,1,2,3,0,0,2,2,3,2
UT01-81D,3,5,2,0,2,3,0,1,1,2,3,2
UT01-82D,1,4,1,1,1,3,1,1,3,2,3,2
UT01-83D,3,5,1,1,1,3,0,0,3,2,3,1
UT01-84D,3,3,2,3,1,3,0,0,3,2,3,2
UT01-96D,1,4,1,2,2,1,0,1,2,2,1,1
UT01-96D,1,4,1,2,2,1,0,1,2,2,1,1
UT02-00D,3,5,1,1,1,4,0,0,3,2,3,2
UT02-86D,1,1,2,1,2,0,0,1,0,2,1,1
UT02-86D,1,1,2,1,2,0,0,1,3,2,1,1
UT02-91D,1,1,3,1,3,0,0,1,0,2,1,2
UT02-91D,1,1,3,1,3,0,0,1,2,2,1,2
UT03-01D,3,3,3,1,2,0,0,1,2,2,3,1
UT03-04D,3,5,1,1,1,3,0,0,3,2,3,2
UT03-81D,3,5,1,0,1,4,0,0,3,2,3,2
UT03-83D,3,5,2,2,2,2,0,0,3,2,3,2
UT03-89D,1,1,2,1,2,0,1,1,1,2,1,2
UT03-89D,1,1,2,1,2,0,1,1,3,2,1,2
UT03-99D,1,5,2,1,2,1,,0,3,2,3,1
UT04-81D,3,5,2,1,2,1,,1,3,2,3,1
