"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"1",100,0,100,100,0,0,0,0,33.3,12.5,0,0,10,14.3,0,0,14.3,0,0,7.1,0,0,0,0,7.7,0,0,0,0,NA,NA
"2",0,0,0,0,0,0,0,0,0,0,0,16.7,0,11.1,10,0,25,0,0,0,0,0,15.4,0,0,0,0,12.5,0,0,0
"3",0,0,0,0,0,0,20,0,0,0,0,0,10,11.1,11.1,33.3,0,9.1,12.5,0,25,0,0,12.5,0,0,0,0,0,NA,NA
"4",100,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",0,0,0,0,16.7,0,0,33.3,0,0,14.3,14.3,0,0,0,0,0,0,0,42.9,0,25,0,0,18.2,14.3,0,0,NA,NA,NA
"6",0,0,100,0,0,25,0,33.3,0,20,0,16.7,14.3,0,0,0,12.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"7",0,0,0,0,100,0,0,0,0,16.7,0,0,0,0,0,62.5,7.7,10.5,0,12.5,0,0,0,7.1,0,0,0,0,NA,NA,NA
"8",0,0,0,20,0,20,0,0,0,0,0,0,12.5,0,0,0,38.5,0,0,0,8.3,0,0,7.7,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,50,0,0,12.5,0,0,0,37.5,22.2,14.3,0,0,0,0,9.1,0,0,23.1,0,0,0,0,0,NA,NA
"10",0,0,0,0,16.7,100,0,0,0,0,0,0,0,44.4,42.9,20,0,37.5,0,0,11.1,0,0,0,0,0,0,0,0,NA,NA
"11",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
